Title,URL,Channel,Channel URL,Thumbnail,Duration
Как мы (не) заменим 90% программистов AI,,Valerii Babushkin,https://www.youtube.com/@ValeriiBabushkin,https://i.ytimg.com/vi/psLjf6xeaj0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAbJaCWXI128XLXlxv6e7TS0S8jFQ,N/A
КИНО — Звезда (2025),,Группа КИНО,https://www.youtube.com/channel/UCX2Zz28HLCAO5NCSd5Y-Dgw,https://i.ytimg.com/vi/xXlOszo63JE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCZRr23W6EOjbKR39Bw8YNs_zaWHg,N/A
Телесуфлёры умны просты и круты,,Технологические Связи,https://www.youtube.com/@TechConRUS,https://i.ytimg.com/vi/tJY0JXiXxTU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBjlCZos-Pie8CcrksWuHHLeqLnNg,N/A
"ГАЙД НА СОФТЫ: Как чесать языком на собесе, чтобы дойти до оффера",,авось прорвемся,https://www.youtube.com/@iosgetthrough,https://i.ytimg.com/vi/C1OmVsbZFGY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLABqb6G5_J7NdUdPUnu-ZqpZbNJvg,N/A
Turn Any Website Into LLM Ready Data in Seconds with n8n & Native HTTP Fetch,,Hashing,https://www.youtube.com/@hashintech,https://i.ytimg.com/vi/IfeEU3OEbOg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCbRGXefLqEmGQTYwYImEeqUoPKrg,N/A
"Остеопатия: BDSM, который мы заслужили",,Александр Панчин,https://www.youtube.com/@Scinquisitor,https://i9.ytimg.com/vi/n8xWZs7RqCA/hq720_custom_1.jpg?sqp=COyagMAG-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCtJEX5XZxqJqhVsV5WDuElPqhPvA,N/A
Ташара: территория застрявшего развития | НЕИЗВЕСТНАЯ РОССИЯ,,Настоящее Время. Док,https://www.youtube.com/@CurrentTimeDoc,https://i.ytimg.com/vi/l-Y6rtICc4s/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCIolhIs9I9bbPMgqsIPs_imuMUfQ,N/A
Rammstein – Mein Herz brennt Eugenio Recuenco version 4K 60fps Русские субтитры/перевод,,Rammstein 4K Remastered videos,https://www.youtube.com/@rammstein4kremastered,https://i.ytimg.com/vi/fgKq8J8Wtbc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCTmjTvkXP3FpbXutzHoTUjDKx0BQ,N/A
Этот РОБОТ начинает РЕВОЛЮЦИЮ | РАЗБОР Figure,,Droider,https://www.youtube.com/@Droiderru,,N/A
GPT-4.1 Changes Everything for AI Agents - Here is Why...,,AI Workshop,https://www.youtube.com/@AI-GPTWorkshop,,N/A
